city1,city2
Aachen,Aldenhoven
Aachen,Apolda
Aalen,Altenstadt
Abensberg,Aiglsbach
Achenmühle,Adelsried
Achern,Alsfeld
Achim,Altenwalde
Adelsried,Adelzhausen
Adelzhausen,Aichelberg
Ahlhorn,Fedderwarden
Ahlhorner,Ahrensburg
Ahorn,Böblingen
Ahrensburg,Ascheberg
Aicha,Altdorf
Aichelberg,Augsburg
Aichstetten,Aitrach
Aiglsbach,BadAbbach
Aitrach,BadWörishofen
Albersdorf,Elmshorn
Aldenhoven,Alsdorf
Alfeld,Altdorf
Alleringersleben,BadEilsen
Allersberg,Allershausen
Allershausen,Altmühltal
Alpen,Asdonkshof
Alsdorf,Büren
Alsfeld,Appenweier
Altdorf,Amberg
Altdorf,Aschaffenburg
Altdorf,Deggendorf
Altenstadt,Altwarmbüchen
Altenstadt,Alzenau
Altenwalde,Bremen
Altmühltal,BadBerneck
Altwarmbüchen,BadBramstedt
Alzenau,Dillenburg
Alzey,BadKreuznach
Amberg,Ansbach
Ansbach,Aurach
Anzing,Feldkirchen
Apen,BadZwischenahn
Apolda,BadHersfeld
Appenweier,Baden
Arnsberg,Bestwig
Arnsberg,Werl
Arnstadt,Erfurt
Aschaffenburg,BadCamberg
Ascheberg,BadMünstereifel
Aschheim,Haar
Asdonkshof,Bickendorf
Augsburg,BadAibling
Aurach,BadRappenau
BadAbbach,Brannenburg
BadAibling,BadReichenhall
BadBerneck,BadDürrenberg
BadBramstedt,BadBrückenau
BadBrückenau,BadGrönenbach
BadCamberg,BadHonnef
Baddeckenstedt,Braunschweig
BadDürrenberg,BadKlosterlausnitz
BadEilsen,BadNenndorf
Baden,BadKrozingen
BadGrönenbach,BadHersfeld
BadHersfeld,BadKissingen
BadHersfeld,Bautzen
BadHomburg,Dreieich
BadHonnef,Beratzhausen
BadKissingen,BadWindsheim
BadKlosterlausnitz,Bayreuth
BadKreuznach,Bedburg
BadKrozingen,BadNauheim
BadMünstereifel,BadOldesloe
BadNauheim,Bensheim
BadNenndorf,Beckum
BadOldesloe,BadSchwartau
BadOrb,BadSoden
BadRappenau,Bretzfeld
BadReichenhall,Bergen
BadSchwartau,Blankenheim
BadSoden,Diedenbergen
BadWindsheim,Berkheim
BadWörishofen,Buchloe
BadZwischenahn,Delmenhorst
Baiersdorf,Bamberg
Bamberg,Buttenheim
Bamberg,Eltmann
Bann,Birkenfeld
Baunatal,Borken
Bautzen,Bensberg
Bayreuth,Beelitz
Böblingen,Boxberg
Büderich,Breitscheid
Beckum,Bielefeld
Bedburg,Bergheim
Beelitz,Berg
Bendorf,Höhr
Bensberg,Berbersdorf
Bensheim,Bühl
Beratzhausen,Bessenbach
Berbersdorf,Bielstein
Berg,Bindlacher
Bergen,Bernau
Bergheim,Bingen
Berkheim,Berkhof
Berkhof,Betzigau
Berlin,Birkenwerder
Bernau,Übersee
Bernau,Britz
Übersee,Burgau
Bessenbach,Bogen
Bestwig,Dremmen
Betzigau,Bispingen
Bühl,Bruchsal
Bickendorf,Chorweiler
Biebelnheim,Erbes
Bielefeld,Bönen
Bielstein,Buir
Bindlacher,Brück
Bingen,Bischofsheim
Bingen,Bockert
Birkenfeld,Freisen
Birkenwerder,Brieselang
Bischofsheim,Bitburg
Bispingen,Bockenem
Bissendorf,Bünde
Bitburg,Bleialf
Blankenheim,Bockel
Bleialf,Ginsheim
Bünde,Bruchmühlen
Bönen,Bornstedt
Bochum,Dückerweg
Bochum,Dülmen
Bockel,Bramsche
Bockenem,Bordesholm
Bockert,Boppard
Bogen,Dierdorf
Bonn,Dinslaken
Bonn,Grafschaft
Boppard,Bornheim
Borchen,Borgloh
Bordesholm,Derneburg
Borgloh,Dissen
Borken,Dorsten
Borken,Edermünde
Bornheim,Breyell
Bornstedt,Bottrop
Bottrop,Brandenburg
Bottrop,Castrop
Boxberg,Ehningen
Bramsche,Bremen
Brandenburg,Braunschweig
Brannenburg,Elsendorf
Braunschweig,Burg
Braunschweig,Fallersleben
Braunschweig,Harlingerode
Brück,Coswig
Breitscheid,Dorsten
Bremen,Bremerhaven
Bremen,Burscheid
Bremerhaven,Debstedt
Büren,Breuna
Bretzfeld,Bruchmühlbach
Breuna,Broichweiden
Breyell,Dorsheim
Brieselang,Erkner
Britz,Finowfurt
Broichweiden,Diemelstadt
Bronkow,Calau
Bruchmühlbach,Crailsheim
Bruchmühlen,Dreieck
Bruchsal,Butzbach
Büttelborn,Gernsheim
Buchloe,Erkheim
Buir,Burkau
Burg,Dortmund
Burgau,Contwig
Burgdorf,Hannover
Burkau,Chemnitz
Burscheid,Cloppenburg
Buttenheim,Eltersdorf
Butzbach,Dossenheim
Calau,Duben
Castrop,Dortmund
Chemnitz,Düren
Chemnitz,Hartenstein
Chorweiler,Dormagen
Cloppenburg,Daun
Contwig,Dachau
Coswig,Denkendorf
Crailsheim,Dorfgütingen
Dachau,Dasing
Dannstadt,Deidesheim
Dasing,Dillingen
Daun,Delmenhorst
Döbeln,Grimma
